16004930,ESC EST AGUA BRANCA DO CAJARI
16004965,ESC EST ITABOCA DO CAJARI
16004990,ESC EST PADARIA
16005015,ESC EST SANTO ANTONIO DA CACHOEIRA
16005074,ESC EST MARINHO DO CAJARI
16005279,ESC INDIGENA EST PARUTAIKE
16005872,ESC EST SANTA CLARA DO CAJARI
16006330,ESC INDIGENA EST KUXARE
16006348,ESC INDIGENA EST TAWAINEN
16006356,ESC INDIGENA EST ANANAPIARE
16007840,ESC INDIGENA EST ARANAPOTY
16007859,ESC INDIGENA EST MUREI
16007913,ESC INDIGENA EST WEREKEMUN
16009193,ESC INDIGENA EST MAWAU TUTKO MITI
16009215,ESC INDIGENA EST WURAMUI
16009649,ESC INDIGENA EST AMATARE
16009657,ESC INDIGENA EST FAZENDINHA
16009690,ESC INDIGENA EST KUYNPE KANPAI
16009738,ESC INDIGENA EST AATESIWAI
16009746,ESC INDIGENA EST MOKOLOK
16009754,ESC INDIGENA EST PIARAPO
16010078,ESC INDIGENA EST SANTO ANTONIO
16010086,ESC INDIGENA EST ASANTI
16010388,ESC INDIGENA EST ANDRE MARAPI
16010396,ESC INDIGENA EST WARAHPO APARAI
16004884,ESC EST PROF MARIA DE NAZARE RODRIGUES DA SILVA
16004906,ESC EST MINEKO HAYASHIDA
16004949,ESC EST GAL EMILIO GARRASTAZU MEDICI
16004957,ESC EST IRANDYR PONTES NUNES
16005007,ESCOLA ESTADUAL PROFª SONIA HENRIQUES BARRETO
16006666,ESC EST SANTO ANTONIO DO JARI
16007867,ESC EST MIRILANDIA
16007875,ESC EST PROSPERIDADE
16007905,ESC EST BOM AMIGO DO JARI
16010787,ESC EST PROF VANDA MARIA DE SOUZA CABETE
16007123,INST FED DE EDUC CIENCIA E TECNOLOGIA DO AMAPA-CAMPUS LARANJAL DO JARI
16005066,ESC MUL SANTAREM DO CAJARI
16005090,ESC MUL CONCEICAO DO MURIACA
16005112,ESC MUL DONA MARIA DO CARMO
16005120,ESCOLA CRISTO REDENTOR
16005201,ESC MUL SAO FRANCISCO DO IRATAPURU
16006429,ESC MUL DONA MARIA
16006453,ESC MUL WALDEMAR B DUARTE
16007026,EDUARDA SANTA ROSA
16010540,ESC MUL SALVADOR RODRIGUES FLEXA
16010558,ESC MUL AGUA BRANCA DO CAJARI
16004841,ESC MUL SANTA LUCIA
16005180,ESC MUL SAMAUMA
16005260,ESC MUL VINHA DE LUZ
16006682,ESC MUN SANTA MARIA MENINA
16006704,ESC MUL WEBER EIDER QUEMEL GONCALVES
16007883,ESC MUL RAIMUNDA RODRIGUES CAPIBERIBE
16007999,ESC MUL PAULO FREIRE
16008162,ESC MUL TEREZINHA LIMA QUEIROGA DE SOUSA
16008170,ESC MUL MARIA DE NAZARE SOUSA MINEIRO
16009258,ESC MUL ZELIA CONCEICAO SOUZA DA SILVA
16009266,ESC MUL PROF TEREZA TELES
16009274,ESC MUL JOAO QUEIROGA DE SOUZA
16010574,ESC MUL ATURIA
16011180,ESC MUL MARILZA NASCIMENTO PINHEIRO
16011198,CRECHE MUNICIPAL ARCO IRIS
16011392,CRECHE MUL MUNDO ENCANTADO
16008200,ESCOLA ANA NERI
16010280,ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS
16010434,CENTRO EDUC SESC LER - LARANJAL DO JARI
16010809,CENTRO EDUCACIONAL DINAMICO
16002075,ESC EST GAL CARROMBERT PEREIRA DA COSTA
16002091,ESC EST ANTONIO BRAULIO DE SOUZA
16002113,ESC EST NAZARE DA PEDREIRA
16002164,ESC EST NESTOR BARBOSA DA SILVA
16002172,ESC EST RETIRO SANTO ANTONIO DA PEDREIRA
16002237,ESC EST PROF JOAQUIM MANOEL DE JESUS PICANCO
16002261,ESC EST ARIRI
16002288,ESC EST BACABA
16002300,ESC EST CARAPANATUBA
16002350,ESC EST DANIEL DE CARVALHO
16002474,ESC EST JOAO MACIEL AMANAJAS
16002504,ESC EST JOSE BONIFACIO
16002563,ESC EST LAGOA DOS INDIOS
16002571,ESC EST OLENDINA FERREIRA DO ROSARIO
16002628,ESC EST RAIMUNDO PEREIRA DA SILVA
16002636,ESC EST MARUANUM II
16002652,ESC EST PEDRO ALCANTARA CHAVES LOPES
16002679,ESC EST BERNADINO SILVA
16002784,ESC EST SANTO ANTONIO DO MATAPI
16002806,ESC EST SAO PEDRO DO CARANA
16002822,ESC EST SEBASTIAO CORDEIRO SENA
16002849,ESC EST TEIXEIRA DE FREITAS
16002857,ESC EST TESSALONICA
16002865,ESC EST PROF ANTONIO FIGUEIREDO DA SILVA
16003179,ESC EST MANOEL JOSE SANTOS DA SILVA
16003594,ESC EST ROSA DOS SANTOS SARGES
16003608,ESC EST IGARAPE GRANDE DA TERRA GRANDE
16003616,ESC EST MANOEL DOS REIS
16003640,ESC EST ANDRE NEVES ROSA
16003659,ESC EST BOM JARDIM
16003667,ESC EST CANAL DO GUIMARAES
16003675,ESC EST CLAUDIO DOS SANTOS BARBOSA
16003683,ESC EST CUBANA
16003691,ESC EST BENTO TOLOSA DE SANTANA
16003705,ESC EST FRANCO GRANDE
16003713,ESC EST BENEVENUTO SOARES RODRIGUES
16003721,ESC EST ROMANA FARIAS
16003730,ESC EST IGARAPE DO BURITIZAL
16003748,ESC EST IGARAPE DO MARINHEIRO
16003756,ESC EST IGARAPE GRANDE DO CURUA
16003772,ESC EST ITAMATATUBA
16003780,ESC EST MANOEL PEREIRA HERCULANO
16003799,ESC EST MARIA JOSE CAMPELO DA SILVA
16003802,ESC EST PROF NAIR CORDEIRO MARQUES
16003810,ESC EST JULIA BRUNO
16003829,ESC EST PROF GLICERIO DE S FIGUEIREDO
16003837,ESC EST ERIVALDO FERREIRA DOS SANTOS
16003853,ESC EST VILA MACEDONIA
16003918,ESC EST GOV IVANHOE GONCALVES MARTINS
16003942,ESC EST CATANZAL DO PACUI
16003950,ESC EST GARIMPO DE SAO TOME
16003969,ESC EST JULIO GONCALVES DA COSTA
16003977,ESC EST SAO BENEDITO DO PACUI
16003985,ESC EST SAO FRANCISCO DO ALTO
16003993,ESC EST SAO FRANCISCO DO PIRIRIM
16004000,ESC EST SAO JOAQUIM DO PACUI
16004019,ESC EST SAO RAIMUNDO DO PIRIRIM
16004027,ESC EST SAO SEBASTIAO DA BOA VISTA
16004035,ESC EST SAO TOME DO PACUI
16004043,ESC EST TRACAJATUBA DO PIRIRIM III
16004310,ESC EST DE TEMPO INTEGRAL PE JOAO PIAMARTA
16006216,ESC EST CACHOEIRA DO RIO PEDREIRA
16006224,ESC EST FILADELFIA DO IGARAPE GRANDE
16006232,ESC EST CIRILO PANTOJA
16006259,ESC EST MANOEL MENDES BARBOSA
16006267,ESC EST IGARAPE DO CARNEIRO
16006364,ESC EST AQUARIQUARA
16006798,ESC EST PROF HELENISE WALMIRA DIAS SANTOS
16006844,ESC EST IGARAPE DAS ARMAS
16006879,ESC EST PROF MARGARIDA ROCHA DA COSTA
16007360,ESC EST TRACAJATUBA I
16007387,ESC EST FRANQUINHO DO BAILIQUE
16007492,ESC EST MARIA ANGELICA PEREIRA GOES
16007654,ESC BOSQUE DO AMAPA MOD REG DO BAILIQUE
16008251,ESC EST DO PESCADO
16008537,ESC EST SALAMITO
16008650,ESC EST RETIRO DO PIRATIVA
16010604,ESC EST JOSE ALVES GOUVEIA
16010647,ESC EST JOAO HENRIQUE DA SILVA
16011201,ESC EST PROF JACINTA MARIA RODRIGUES DE CARVALHO
16024001,ESC EST SILVIO CAMILO
16001877,ESC EST PROF ROBERTO JOSE MORAIS DE CASTRO
